ñò08ïñ-1;ñò08ïñ-6;ñò3ïñ-;ñò3ïñ-2;ñò3ïñ-3;ñò3ïñ-4;ñò3ïñ-5;ñò3ïñ-6;ñò3ñï-;ñò3ñï-2;ñò3ñï-5;ñò3ñï5-;Ñ235-;Ñ235-1;Ñ245-;Ñ245-1;Ñ245-4;Ñ255-;Ñ255-1;Ñ255-4;Ñ255-5;Ñ345-;Ñ345-1;Ñ345-3;Ñ345-4;Ñ345-5;Ñ345-5-ÃÊ;Ñ345-6;Ñ345-7;Ñ355-;Ñ355-5;Ñ355-6;09Ã2Ñ-;09Ã2Ñ-1;09Ã2Ñ-4;09Ã2Ñ-6;09Ã2Ñ-8;09Ã2Ñ-12;09Ã2Ñ-14;09Ã2Ñ-15;345-09Ã2Ñ-;345-09Ã2Ñ-8;345-09Ã2Ñ-12;345-09Ã2Ñ-15;09Ã2ÑÄ-;10ÕÑÍÄ-2;10ÕÑÍÄ-12;12Õ17-;12Õ18Í10Ò-;12Õ18Í9-;17Ã1Ñ-;17Ã1Ñ-Ó-;08õ18Í10Ò-;AISI-430-;ñò3-;ñò3-1;ñò3êï-;ñò10êï-;ñò3ïñ3-1;ñò3ñï/ïñ-;ñò3ñï/ïñ-5;38ÕÍ3ÌÀ-;Ó8À-;08ïñ-5;45-;20-;ñò35-;12Õ18Í10Ò-1;345-09Ã2Ñ-;40-;65Ã-;ÁÑò3-;Ñò5ñï-
ñò08ïñ-1;ñò08ïñ-6;ñò3ïñ-;ñò3ïñ-2;ñò3ïñ-3;ñò3ïñ-4;ñò3ïñ-5;ñò3ïñ-6;ñò3ñï-;ñò3ñï-2;ñò3ñï-5;ñò3ñï5-;Ñ235-;Ñ235-1;Ñ245-;Ñ245-1;Ñ245-4;Ñ255-;Ñ255-1;Ñ255-4;Ñ255-5;Ñ345-;Ñ345-1;Ñ345-3;Ñ345-4;Ñ345-5;Ñ345-5-ÃÊ;Ñ345-6;Ñ345-7;Ñ355-;Ñ355-5;Ñ355-6;09Ã2Ñ-;09Ã2Ñ-1;09Ã2Ñ-4;09Ã2Ñ-6;09Ã2Ñ-8;09Ã2Ñ-12;09Ã2Ñ-14;09Ã2Ñ-15;345-09Ã2Ñ-;345-09Ã2Ñ-8;345-09Ã2Ñ-12;345-09Ã2Ñ-15;09Ã2ÑÄ-;10ÕÑÍÄ-2;10ÕÑÍÄ-12;12Õ17-;12Õ18Í10Ò-;12Õ18Í9-;17Ã1Ñ-;17Ã1Ñ-Ó-;08õ18Í10Ò-;AISI-430-;ñò3-;ñò3-1;ñò3êï-;ñò10êï-;ñò3ïñ3-1;ñò3ñï/ïñ-;ñò3ñï/ïñ-5;38ÕÍ3ÌÀ-;Ó8À-;08ïñ-5;45-;20-;ñò35-;12Õ18Í10Ò-1;345-09Ã2Ñ-;40-;65Ã-;ÁÑò3-;Ñò5ñï-
ñò08ïñ-6;;ñò3ñï-;ñò3ïñ-3;ñò3ïñ-4;ñò3ïñ-5;ñò3ñï5-;Ñ345-6;ñò3ñï-2;ñò3ñï-5;ñò3ñï5-;ñò3ñï-5;Ñ235-1;ñò3ïñ-5;Ñ245-1;Ñ245-4;Ñ345-4;Ñ255-1;Ñ255-4;Ñ255-5;Ñ345-1;Ñ345-1;Ñ345-3;Ñ345-4;Ñ345-5;Ñ345-6;;Ñ345-7;09Ã2Ñ-15;Ñ355-5;Ñ355-6;;09Ã2Ñ-1;09Ã2Ñ-4;09Ã2Ñ-6;09Ã2Ñ-8;09Ã2Ñ-12;09Ã2Ñ-14;09Ã2Ñ-15;Ñ345-4;345-09Ã2Ñ-8;345-09Ã2Ñ-12;345-09Ã2Ñ-15;;;10ÕÑÍÄ-12;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;ñò3ïñ-2;ñò3ïñ-4;ñò3ïñ-5;ñò3ïñ-6;ñò3ïñ-6;Ñ345-7;ñò3ñï-5;Ñ235-1;Ñ235-1;Ñ235-1;ñò3ïñ-5;Ñ245-1;Ñ245-1;Ñ345-3;Ñ345-5;Ñ255-4;Ñ255-5;Ñ345-1;Ñ345-3;Ñ345-3;Ñ345-4;Ñ345-5;Ñ345-6;Ñ345-7;;Ñ355-6;;Ñ355-5;;;09Ã2Ñ-4;09Ã2Ñ-6;09Ã2Ñ-8;09Ã2Ñ-12;09Ã2Ñ-14;09Ã2Ñ-15;Ñ345-4;Ñ345-5;345-09Ã2Ñ-12;345-09Ã2Ñ-15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;ñò3ïñ-3;ñò3ïñ-5;ñò3ïñ-6;Ñ235-1;Ñ235-1;Ñ355-5;Ñ235-1;Ñ235-;Ñ235-;Ñ235-;Ñ245-1;Ñ245-4;Ñ245-4;Ñ345-4;Ñ345-6;Ñ255-5;Ñ345-1;Ñ345-3;Ñ345-4;Ñ345-4;Ñ345-5;Ñ345-6;Ñ345-7;Ñ355-5;;09Ã2Ñ-15;;Ñ355-6;;;09Ã2Ñ-6;09Ã2Ñ-8;09Ã2Ñ-12;09Ã2Ñ-14;09Ã2Ñ-15;Ñ345-3;Ñ345-5;Ñ345-6;345-09Ã2Ñ-15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;ñò3ïñ-4;ñò3ïñ-6;Ñ235-1;Ñ235-;Ñ235-;Ñ355-6;Ñ235-;Ñ245-1;Ñ245-1;Ñ245-1;Ñ245-4;Ñ255-1;Ñ345-3;Ñ345-5;Ñ345-7;Ñ345-1;Ñ345-3;Ñ345-4;Ñ345-5;Ñ345-5;Ñ345-6;Ñ345-7;Ñ355-5;Ñ355-6;;;;;;;09Ã2Ñ-8;09Ã2Ñ-12;09Ã2Ñ-14;09Ã2Ñ-15;Ñ345-3;Ñ345-4;Ñ345-6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;ñò3ïñ-5;Ñ235-1;Ñ235-;Ñ245-1;Ñ245-1;09Ã2Ñ-8;Ñ245-1;Ñ245-4;Ñ245-4;Ñ245-4;Ñ255-1;Ñ255-4;Ñ345-4;Ñ345-6;Ñ355-5;Ñ345-3;Ñ345-4;Ñ345-5;Ñ345-6;Ñ345-6;Ñ345-7;Ñ355-5;Ñ355-6;09Ã2Ñ-15;;;;;;;09Ã2Ñ-12;09Ã2Ñ-14;09Ã2Ñ-15;Ñ345-3;Ñ345-4;Ñ345-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;ñò3ïñ-6;Ñ235-;Ñ245-1;Ñ245-4;Ñ245-4;09Ã2Ñ-12;Ñ245-4;Ñ255-1;Ñ255-1;Ñ255-1;Ñ255-4;Ñ255-5;Ñ345-5;Ñ345-7;Ñ355-6;Ñ345-4;Ñ345-5;Ñ345-6;Ñ345-7;Ñ345-7;Ñ355-5;Ñ355-6;09Ã2Ñ-15;;;;;;;;09Ã2Ñ-14;09Ã2Ñ-15;Ñ345-3;Ñ345-4;Ñ345-3;Ñ345-5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Ñ235-1;Ñ245-1;Ñ245-4;Ñ255-1;Ñ255-1;09Ã2Ñ-14;Ñ255-1;Ñ255-4;Ñ255-4;Ñ255-4;Ñ255-5;Ñ255-;Ñ345-6;Ñ355-5;09Ã2Ñ-15;Ñ345-5;Ñ345-6;Ñ345-7;Ñ355-5;Ñ355-5;Ñ355-6;09Ã2Ñ-15;;;;;;;;;09Ã2Ñ-15;Ñ345-3;Ñ345-4;Ñ345-3;Ñ345-5;Ñ345-6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Ñ235-;Ñ245-4;Ñ255-1;Ñ255-4;Ñ255-4;09Ã2Ñ-15;Ñ255-4;Ñ255-5;Ñ255-5;Ñ255-5;Ñ255-;Ñ345-1;Ñ345-7;Ñ355-6;;Ñ345-6;Ñ345-7;Ñ355-5;Ñ355-6;Ñ355-6;09Ã2Ñ-12;;;;;;;;;;Ñ345-3;Ñ345-4;Ñ345-3;Ñ345-5;Ñ345-6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Ñ245-1;Ñ255-1;Ñ255-4;Ñ255-5;Ñ255-5;;Ñ255-5;Ñ255-;Ñ255-;Ñ255-;Ñ345-1;Ñ345-3;Ñ355-5;09Ã2Ñ-15;;Ñ345-7;Ñ355-5;Ñ355-6;09Ã2Ñ-8;09Ã2Ñ-12;09Ã2Ñ-14;;;;;;;;;;Ñ345-4;Ñ345-3;Ñ345-5;Ñ345-6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Ñ245-4;Ñ255-4;Ñ255-5;Ñ255-;Ñ255-;;Ñ255-;Ñ345-1;Ñ345-1;Ñ345-1;Ñ345-3;Ñ345-4;Ñ355-6;;;Ñ355-5;Ñ355-6;09Ã2Ñ-8;09Ã2Ñ-12;09Ã2Ñ-14;09Ã2Ñ-15;;;;;;;;;;Ñ345-3;Ñ345-5;Ñ345-6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Ñ255-1;Ñ255-5;Ñ255-;Ñ345-1;Ñ345-1;;Ñ345-1;Ñ345-3;Ñ345-3;Ñ345-3;Ñ345-4;Ñ345-5;09Ã2Ñ-15;;;Ñ355-6;09Ã2Ñ-8;09Ã2Ñ-12;09Ã2Ñ-14;09Ã2Ñ-15;;;;;;;;;;;Ñ345-5;Ñ345-6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Ñ255-4;Ñ255-;Ñ345-1;Ñ345-3;Ñ345-3;;Ñ345-3;Ñ345-4;Ñ345-4;Ñ345-4;Ñ345-5;Ñ345-6;;;;09Ã2Ñ-8;09Ã2Ñ-12;09Ã2Ñ-14;09Ã2Ñ-15;;;;;;;;;;;;Ñ345-6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Ñ255-5;Ñ345-1;Ñ345-3;Ñ345-4;Ñ345-4;;Ñ345-4;Ñ345-5;Ñ345-5;Ñ345-5;Ñ345-6;Ñ345-7;;;;09Ã2Ñ-12;09Ã2Ñ-14;09Ã2Ñ-15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Ñ255-;Ñ345-3;Ñ345-4;Ñ345-5;Ñ345-5;;Ñ345-5;Ñ345-6;Ñ345-6;Ñ345-6;Ñ345-7;Ñ355-5;;;;09Ã2Ñ-14;09Ã2Ñ-15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Ñ345-1;Ñ345-4;Ñ345-5;Ñ345-6;Ñ345-6;;Ñ345-6;Ñ345-7;Ñ345-7;Ñ345-7;Ñ355-5;Ñ355-6;;;;09Ã2Ñ-15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Ñ345-3;Ñ345-5;Ñ345-6;Ñ345-7;Ñ345-7;;Ñ345-7;Ñ355-5;Ñ355-5;Ñ355-5;Ñ355-6;09Ã2Ñ-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Ñ345-4;Ñ345-6;Ñ345-7;Ñ355-5;Ñ355-5;;Ñ355-5;Ñ355-6;Ñ355-6;Ñ355-6;09Ã2Ñ-8;09Ã2Ñ-12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Ñ345-5;Ñ345-7;Ñ355-5;Ñ355-6;Ñ355-6;;Ñ355-6;09Ã2Ñ-8;09Ã2Ñ-8;09Ã2Ñ-8;09Ã2Ñ-12;09Ã2Ñ-14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Ñ345-6;Ñ355-5;Ñ355-6;09Ã2Ñ-8;09Ã2Ñ-8;;09Ã2Ñ-8;09Ã2Ñ-12;09Ã2Ñ-12;09Ã2Ñ-12;09Ã2Ñ-14;09Ã2Ñ-15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Ñ345-7;Ñ355-6;09Ã2Ñ-8;09Ã2Ñ-12;09Ã2Ñ-12;;09Ã2Ñ-12;09Ã2Ñ-14;09Ã2Ñ-14;09Ã2Ñ-14;09Ã2Ñ-15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Ñ355-5;09Ã2Ñ-8;09Ã2Ñ-12;09Ã2Ñ-14;09Ã2Ñ-14;;09Ã2Ñ-14;09Ã2Ñ-15;09Ã2Ñ-15;09Ã2Ñ-15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Ñ355-6;09Ã2Ñ-12;09Ã2Ñ-14;09Ã2Ñ-15;09Ã2Ñ-15;;09Ã2Ñ-15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;09Ã2Ñ-8;09Ã2Ñ-14;09Ã2Ñ-15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;09Ã2Ñ-12;09Ã2Ñ-15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;09Ã2Ñ-14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;09Ã2Ñ-15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
