Номер победы;Номенклатура;Некомплектная_отгрузка
02314;Болт М20-6gх65.8.8.Гл ГОСТ 7798-70;1
02314;Гайка М20-6h.8.Гл ГОСТ 5915-70;1
02314;Гайка М24-6h.8.Гл ГОСТ 5915-70;1
02314;Хомут по чертежу Х-1 20.09Г2С-15.Гл Чертёж: ДК10-Х-1.01;1
02314;Шайба 20 Гл ГОСТ 11371-78;1
02314;Шайба 20 Гл ГОСТ 6402-70;1
02314;Шайба 24 Гл ГОСТ 11371-78;1
02314;Шпилька по чертежу Ш-1 М24х350.40Х.Гл ДК10-Ш-1.02;1
02315;Болт М24-6gх80.8.8.Гл ГОСТ 7798-70;1
02315;Гайка М24-6h.8.Гл ГОСТ 5915-70;1
02315;Шайба 24 Гл ГОСТ 11371-78;1
02316;Болт М12-6gх40.8.8.Гл ГОСТ 7798-70;1
02316;Болт М12-6gх80.8.8.Гл ГОСТ 7798-70;1
02316;Болт М20-6gх65.8.8.Гл ГОСТ 7798-70;1
02316;Гайка М12-6h.8.Гл ГОСТ 5915-70;1
02316;Гайка М20-6h.8.Гл ГОСТ 5915-70;1
02316;Гайка М24-6h.8.Гл ГОСТ 5915-70;1
02316;Хомут по чертежу Х-1 20.09Г2С-15.Гл Чертёж: ДК10-Х-1.01;1
02316;Шайба 12 Гл ГОСТ 11371-78;1
02316;Шайба 12 Гл ГОСТ 6402-70;1
02316;Шайба 20 Гл ГОСТ 11371-78;1
02316;Шайба 20 Гл ГОСТ 6402-70;1
02316;Шайба 24 Гл ГОСТ 11371-78;1
02316;Шпилька по чертежу Ш-1 М24х350.40Х.Гл ДК10-Ш-1.02;1
02317;Болт М24-6gх80.8.8.Гл ГОСТ 7798-70;1
02317;Гайка М24-6h.8.Гл ГОСТ 5915-70;1
02317;Шайба 24 Гл ГОСТ 11371-78;1
02318;Болт М20-6gх65.8.8.Гл ГОСТ 7798-70;1
02318;Болт М30-6gх110.8.8.Гл ГОСТ 7798-70;1
02318;Гайка М20-6h.8.Гл ГОСТ 5915-70;1
02318;Гайка М30-6h.8.Гл ГОСТ 5915-70;1
02318;Шайба 20 Гл ГОСТ 11371-78;1
02318;Шайба 20 Гл ГОСТ 6402-70;1
02318;Шайба 30 Гл ГОСТ 11371-78;1
02320;Болт М20-6gх65.8.8.Гл ГОСТ 7798-70;1
02320;Болт М30-6gх110.8.8.Гл ГОСТ 7798-70;1
02320;Гайка М20-6h.8.Гл ГОСТ 5915-70;1
02320;Гайка М30-6h.8.Гл ГОСТ 5915-70;1
02320;Шайба 20 Гл ГОСТ 11371-78;1
02320;Шайба 20 Гл ГОСТ 6402-70;1
02320;Шайба 30 Гл ГОСТ 11371-78;1
02322;Болт М20-6gх65.8.8.Гл ГОСТ 7798-70;1
02322;Гайка М20-6h.8.Гл ГОСТ 5915-70;1
02322;Гайка М24-6h.8.Гл ГОСТ 5915-70;1
02322;Хомут по чертежу Х-1 20.09Г2С-15.Гл Чертёж: ДК10-Х-1.01;1
02322;Шайба 20 Гл ГОСТ 11371-78;1
02322;Шайба 20 Гл ГОСТ 6402-70;1
02322;Шайба 24 Гл ГОСТ 11371-78;1
02322;Шпилька по чертежу Ш-1 М24х350.40Х.Гл ДК10-Ш-1.02;1
02323;Болт М24-6gх80.8.8.Гл ГОСТ 7798-70;1
02323;Гайка М24-6h.8.Гл ГОСТ 5915-70;1
02323;Шайба 24 Гл ГОСТ 11371-78;1
02324;Болт М20-6gх65.8.8.Гл ГОСТ 7798-70;1
02324;Болт М20-6gх90.8.8.Гл ГОСТ 7798-70;1
02324;Болт М30-6gх110.8.8.Гл ГОСТ 7798-70;1
02324;Гайка М20-6h.8.Гл ГОСТ 5915-70;1
02324;Гайка М30-6h.8.Гл ГОСТ 5915-70;1
02324;Шайба 20 Гл ГОСТ 11371-78;1
02324;Шайба 20 Гл ГОСТ 6402-70;1
02324;Шайба 30 Гл ГОСТ 11371-78;1
02325;Шайба 20 Гл ГОСТ 11371-78;1
02326;Болт М20-6gх65.8.8.Гл ГОСТ 7798-70;1
02326;Болт М30-6gх110.8.8.Гл ГОСТ 7798-70;1
02326;Гайка М20-6h.8.Гл ГОСТ 5915-70;1
02326;Гайка М30-6h.8.Гл ГОСТ 5915-70;1
02326;Шайба 20 Гл ГОСТ 11371-78;1
02326;Шайба 20 Гл ГОСТ 6402-70;1
02326;Шайба 30 Гл ГОСТ 11371-78;1
02328;Болт М16-6gх55.8.8.Гл ГОСТ 7798-70;1
02328;Болт М20-6gх240.8.8.Гл ГОСТ 7798-70;1
02328;Болт М20-6gх65.8.8.Гл ГОСТ 7798-70;1
02328;Гайка М16-6h.8.Гл ГОСТ 5915-70;1
02328;Гайка М20-6h.8.Гл ГОСТ 5915-70;1
02328;Шайба 16 Гл ГОСТ 11371-78;1
02328;Шайба 16 Гл ГОСТ 6402-70;1
02328;Шайба 20 Гл ГОСТ 11371-78;1
02328;Шайба 20 Гл ГОСТ 6402-70;1
02330;Болт М20-6gх65.8.8.Гл ГОСТ 7798-70;1
02330;Гайка М20-6h.8.Гл ГОСТ 5915-70;1
02330;Гайка М24-6h.8.Гл ГОСТ 5915-70;1
02330;Хомут по чертежу Х-1 20.09Г2С-15.Гл Чертёж: ДК10-Х-1.01;1
02330;Шайба 20 Гл ГОСТ 11371-78;1
02330;Шайба 20 Гл ГОСТ 6402-70;1
02330;Шайба 24 Гл ГОСТ 11371-78;1
02330;Шпилька по чертежу Ш-1 М24х350.40Х.Гл ДК10-Ш-1.02;1
02331;Болт М24-6gх80.8.8.Гл ГОСТ 7798-70;1
02331;Гайка М24-6h.8.Гл ГОСТ 5915-70;1
02331;Шайба 24 Гл ГОСТ 11371-78;1
02332;Болт М12-6gх40.8.8.Гл ГОСТ 7798-70;1
02332;Болт М12-6gх80.8.8.Гл ГОСТ 7798-70;1
02332;Болт М20-6gх65.8.8.Гл ГОСТ 7798-70;1
02332;Гайка М12-6h.8.Гл ГОСТ 5915-70;1
02332;Гайка М20-6h.8.Гл ГОСТ 5915-70;1
02332;Гайка М24-6h.8.Гл ГОСТ 5915-70;1
02332;Хомут по чертежу Х-1 20.09Г2С-15.Гл Чертёж: ДК10-Х-1.01;1
02332;Шайба 12 Гл ГОСТ 11371-78;1
02332;Шайба 12 Гл ГОСТ 6402-70;1
02332;Шайба 20 Гл ГОСТ 11371-78;1
02332;Шайба 20 Гл ГОСТ 6402-70;1
02332;Шайба 24 Гл ГОСТ 11371-78;1
02332;Шпилька по чертежу Ш-1 М24х350.40Х.Гл ДК10-Ш-1.02;1
02333;Болт М24-6gх80.8.8.Гл ГОСТ 7798-70;1
02333;Гайка М24-6h.8.Гл ГОСТ 5915-70;1
02333;Шайба 24 Гл ГОСТ 11371-78;1
02334;Болт М20-6gх65.8.8.Гл ГОСТ 7798-70;1
02334;Болт М30-6gх110.8.8.Гл ГОСТ 7798-70;1
02334;Гайка М20-6h.8.Гл ГОСТ 5915-70;1
02334;Гайка М30-6h.8.Гл ГОСТ 5915-70;1
02334;Шайба 20 Гл ГОСТ 11371-78;1
02334;Шайба 20 Гл ГОСТ 6402-70;1
02334;Шайба 30 Гл ГОСТ 11371-78;1
02336;Болт М20-6gх65.8.8.Гл ГОСТ 7798-70;1
02336;Болт М30-6gх110.8.8.Гл ГОСТ 7798-70;1
02336;Гайка М20-6h.8.Гл ГОСТ 5915-70;1
02336;Гайка М30-6h.8.Гл ГОСТ 5915-70;1
02336;Шайба 20 Гл ГОСТ 11371-78;1
02336;Шайба 20 Гл ГОСТ 6402-70;1
02336;Шайба 30 Гл ГОСТ 11371-78;1
02338;Болт М20-6gх65.8.8.Гл ГОСТ 7798-70;1
02338;Гайка М20-6h.8.Гл ГОСТ 5915-70;1
02338;Гайка М24-6h.8.Гл ГОСТ 5915-70;1
02338;Хомут по чертежу Х-1 20.09Г2С-15.Гл Чертёж: ДК10-Х-1.01;1
02338;Шайба 20 Гл ГОСТ 11371-78;1
02338;Шайба 20 Гл ГОСТ 6402-70;1
02338;Шайба 24 Гл ГОСТ 11371-78;1
02338;Шпилька по чертежу Ш-1 М24х350.40Х.Гл ДК10-Ш-1.02;1
02339;Болт М24-6gх80.8.8.Гл ГОСТ 7798-70;1
02339;Гайка М24-6h.8.Гл ГОСТ 5915-70;1
02339;Шайба 24 Гл ГОСТ 11371-78;1
02340;Болт М20-6gх65.8.8.Гл ГОСТ 7798-70;1
02340;Болт М20-6gх90.8.8.Гл ГОСТ 7798-70;1
02340;Болт М30-6gх110.8.8.Гл ГОСТ 7798-70;1
02340;Гайка М20-6h.8.Гл ГОСТ 5915-70;1
02340;Гайка М30-6h.8.Гл ГОСТ 5915-70;1
02340;Шайба 20 Гл ГОСТ 11371-78;1
02340;Шайба 20 Гл ГОСТ 6402-70;1
02340;Шайба 30 Гл ГОСТ 11371-78;1
02341;Шайба 20 Гл ГОСТ 11371-78;1
02342;Болт М16-6gх55.8.8.Гл ГОСТ 7798-70;1
02342;Болт М20-6gх240.8.8.Гл ГОСТ 7798-70;1
02342;Болт М20-6gх65.8.8.Гл ГОСТ 7798-70;1
02342;Гайка М16-6h.8.Гл ГОСТ 5915-70;1
02342;Гайка М20-6h.8.Гл ГОСТ 5915-70;1
02342;Шайба 16 Гл ГОСТ 11371-78;1
02342;Шайба 16 Гл ГОСТ 6402-70;1
02342;Шайба 20 Гл ГОСТ 11371-78;1
02342;Шайба 20 Гл ГОСТ 6402-70;1
